0,16,8,32,9,48,51,3,24,26,49,10,50,56,19,58,2,34,40,11,35,27,59,1,43,41,33,17,18,57,25,42
0,1,2,3,8,9,10,16,11,17,18,19,24,25,32,26,33,34,35,40,48,41,49,42,27,43,56,50,51,59,57,58
0,8,10,3,16,1,9,11,2,17,24,19,27,32,18,26,40,41,34,25,33,35,42,43,48,51,56,59,49,58,50,57
0,16,8,32,24,40,43,42,17,2,3,19,34,18,33,1,26,10,11,25,27,9,35,41,48,56,59,50,57,51,58,49
0,16,32,48,8,9,3,1,18,19,40,35,49,56,24,51,27,34,10,2,57,11,43,50,17,41,42,26,33,59,25,58
0,16,32,18,1,3,19,8,35,10,24,48,56,34,11,50,51,27,33,9,17,26,2,25,59,40,58,42,41,43,49,57
0,8,9,3,2,11,1,10,16,24,19,26,27,18,17,25,32,40,34,42,35,41,43,33,48,56,57,49,58,59,51,50
0,16,8,24,32,40,48,56,17,9,26,19,10,11,18,27,3,41,25,35,1,33,42,34,50,2,49,58,57,43,59,51
0,1,2,3,8,9,10,11,16,17,19,18,24,25,32,26,48,49,51,50,33,27,56,57,40,41,43,42,58,59,34,35
0,1,8,9,11,10,3,2,16,17,24,25,27,26,18,19,32,33,40,41,34,35,42,43,48,49,50,51,56,57,58,59
